,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,11.5625,11.5625,11.0,11.375,183000,WSO
1,2000-01-04,11.3125,11.4375,11.1875,11.375,125100,WSO
2,2000-01-05,11.375,11.625,11.3125,11.5625,21000,WSO
3,2000-01-06,11.5,11.6875,11.4375,11.5625,16800,WSO
4,2000-01-07,11.5625,11.8125,11.5625,11.6875,10400,WSO
5,2000-01-10,11.5625,11.875,11.5625,11.875,25800,WSO
6,2000-01-11,11.75,12.1875,11.75,12.125,22000,WSO
7,2000-01-12,12.125,12.25,12.0625,12.1875,12500,WSO
8,2000-01-13,12.125,12.9375,12.125,12.375,16000,WSO
9,2000-01-14,12.5,12.5,12.375,12.5,40600,WSO
10,2000-01-18,12.5,12.5,12.0,12.0,21100,WSO
11,2000-01-19,12.0,12.0625,11.9375,12.0,42900,WSO
12,2000-01-20,11.9375,12.0,11.875,11.9375,15300,WSO
13,2000-01-21,11.9375,11.9375,11.75,11.75,63500,WSO
14,2000-01-24,11.6875,11.9375,11.6875,11.9375,35500,WSO
15,2000-01-25,11.875,11.9375,11.8125,11.9375,72100,WSO
16,2000-01-26,11.9375,12.125,11.875,12.0625,99700,WSO
17,2000-01-27,12.0625,12.125,11.9375,12.0,54100,WSO
18,2000-01-28,12.0,12.0,11.6875,11.75,34600,WSO
19,2000-01-31,11.6875,11.6875,11.4375,11.625,79700,WSO
20,2000-02-01,11.5625,11.625,11.5,11.5,98200,WSO
21,2000-02-02,11.5,11.8125,11.125,11.125,37400,WSO
22,2000-02-03,11.3125,11.3125,11.0625,11.1875,51200,WSO
23,2000-02-04,11.0625,11.25,11.0625,11.1875,20200,WSO
24,2000-02-07,11.25,11.25,11.0,11.0625,45000,WSO
25,2000-02-08,11.0,11.0,9.625,9.8125,202200,WSO
26,2000-02-09,9.5625,9.96875,9.5625,9.8125,87700,WSO
27,2000-02-10,9.9375,10.125,9.5625,9.75,35000,WSO
28,2000-02-11,9.875,9.9375,9.5625,9.625,18200,WSO
29,2000-02-14,9.75,9.75,9.5625,9.5625,27500,WSO
30,2000-02-15,9.5,9.5625,9.0625,9.3125,19900,WSO
31,2000-02-16,9.4375,9.75,9.4375,9.5,22700,WSO
32,2000-02-17,9.5,9.6875,9.4375,9.6875,19500,WSO
33,2000-02-18,9.6875,9.6875,9.125,9.125,47600,WSO
34,2000-02-22,9.25,9.25,9.0,9.0,62400,WSO
35,2000-02-23,9.125,9.375,8.875,9.0625,1014100,WSO
